zone,hour,predicted_risk
ad-portas,0,56.4
ad-portas,1,56.4
ad-portas,2,54.3
ad-portas,3,49.6
ad-portas,4,52.6
ad-portas,5,50.3
ad-portas,6,49.5
ad-portas,7,46.0
ad-portas,8,49.6
ad-portas,9,54.4
ad-portas,10,45.6
ad-portas,11,49.0
ad-portas,12,51.0
ad-portas,13,48.7
ad-portas,14,39.5
ad-portas,15,51.1
ad-portas,16,52.1
ad-portas,17,50.4
ad-portas,18,49.8
ad-portas,19,53.2
ad-portas,20,48.1
ad-portas,21,54.4
ad-portas,22,51.4
ad-portas,23,48.8
porton-cafe,0,55.2
porton-cafe,1,55.0
porton-cafe,2,53.8
porton-cafe,3,47.5
porton-cafe,4,53.9
porton-cafe,5,51.9
porton-cafe,6,53.4
porton-cafe,7,51.0
porton-cafe,8,55.6
porton-cafe,9,55.6
porton-cafe,10,48.6
porton-cafe,11,52.7
porton-cafe,12,54.3
porton-cafe,13,52.6
porton-cafe,14,44.7
porton-cafe,15,53.7
porton-cafe,16,54.9
porton-cafe,17,50.5
porton-cafe,18,52.3
porton-cafe,19,51.4
porton-cafe,20,44.2
porton-cafe,21,52.3
porton-cafe,22,48.8
porton-cafe,23,50.3
puente-madera,0,49.6
puente-madera,1,48.9
puente-madera,2,50.7
puente-madera,3,45.6
puente-madera,4,50.9
puente-madera,5,49.1
puente-madera,6,51.3
puente-madera,7,52.7
puente-madera,8,66.5
puente-madera,9,60.2
puente-madera,10,52.3
puente-madera,11,55.8
puente-madera,12,57.6
puente-madera,13,57.3
puente-madera,14,50.5
puente-madera,15,57.8
puente-madera,16,58.0
puente-madera,17,49.6
puente-madera,18,55.4
puente-madera,19,50.4
puente-madera,20,47.6
puente-madera,21,55.2
puente-madera,22,50.0
puente-madera,23,41.0
